94G	:4!c//2*35x	(Qualifier)(Address)
94H	:4!c//11c	(Qualifier)(BIC)
94L	:4!c//20!c	(Qualifier)(LegalEntityIdentifier)
95C	:4!c//2!a	(Qualifier)(CountryCode)
95L	:4!c//20!c	(Qualifier)(LegalEntityIdentifier)
95P	:4!c//11c	(Qualifier)(BIC)
95Q	:4!c//4*35x	(Qualifier)(NameAndAddress)
95R	:4!c/8c/34x	(Qualifier)(DataSourceScheme)(ProprietaryCode)
95S	:4!c/[8c]/4!c/2!a/30x	(Qualifier)(DataSourceScheme)(TypeOfID)(CountryCode)(AlternateID)
95V	:4!c//10*35x	(Qualifier)(NameAndAddress)
96A	[/36x\n]11c	(PartyIdentifier)(BIC)
96D	[/36x\n]4*35x	(PartyIdentifier)(NameandAddress)
96J	5*40x	(PartyIdentification)
97A	:4!c//35x	(Qualifier)(AccountNumber)
97B	:4!c/[8c]/4!c/35x	(Qualifier)(DataSourceScheme)(AccountTypeCode)(AccountNumber)
97C	:4!c//4!c	(Qualifier)(AccountCode)
97E	:4!c//34x	(Qualifier)(InternationalBankAccountNumber)
98A	:4!c//8!n	(Qualifier)(Date)
98B	:4!c/[8c]/4!c	(Qualifier)(DataSourceScheme)(DateCode)
98C	:4!c//8!n6!n	(Qualifier)(Date)(Time)
98D	8!n6!n[,3n][/[N]2!n[2!n]]	(Date)(Time)(Decimals)(UTCIndicator)
98E	:4!c//8!n6!n[,3n][/[N]2!n[2!n]]	(Qualifier)(Date)(Time)(Decimals)(UTCIndicator)
98F	:4!c/[8c]/4!c6!n	(Qualifier)(DataSourceScheme)(DateCode)(Time)
98G	8!n6!n[,3n][/[N]2!n[2!n]]	(Date)(Time)(Decimals)(UTCIndicator)
98H	6!n[,3n][/[N]2!n[2!n]]	(Time)(Decimals)(UTCIndicator)
98J	:4!c//8!n6!n/11c	(Qualifier)(Date)(Time)(BIC)
98K	:4!c/8c/8!n6!n/34x	(Qualifier)(DataSourceScheme)(Date)(Time)(ProprietaryCode)
99A	:4!c//[N]3!n	(Qualifier)(Sign)(Number)
99B	:4!c//3!n	(Qualifier)(Number)
